	worker_id	worker_platform	worker_browser	battery_name	battery_owner	battery_owner_email	battery_completed	experiment_include_bonus	experiment_include_catch	experiment_exp_id	experiment_name	experiment_reference	experiment_cognitive_atlas_task_id	result_SS_delay	result_SS_duration	result_SS_stimulus	result_SS_trial_type	result_block_duration	result_condition	result_correct	result_correct_response	result_current_trial	result_dateTime	result_exp_id	result_exp_stage	result_feedback_duration	result_global_shape	result_internal_node_id	result_key_press	result_large_amt	result_later_del	result_local_shape	result_mouse_click	result_num_response	result_page_num	result_possible_responses	result_qnum	result_response_range	result_rt	result_score_response	result_small_amt	result_stim_duration	result_stim_id	result_stim_question	result_stim_response	result_stimulus	result_switch	result_time_elapsed	result_times_viewed	result_timing_post_trial	result_trial	result_trial_id	result_trial_index	result_trial_num	result_trial_type	result_id	result_view_history
7ce0474b-9095-4507-a01b-767445a1c93d_0	7ce0474b-9095-4507-a01b-767445a1c93d	Mac OS X,10.10.5	Chrome,48.0.2564	Internal Test Battery	ian	ianeisenberg90@gmail.com	True	False	False	theories_of_willpower	Theories of Willpower Scale	http://pss.sagepub.com/content/early/2010/09/28/0956797610384745.full#sec-22	trm_56a91a3082c31									0	1454524977430	theories_of_willpower				0.0-0.0	13										1855									1858			instructions	welcome	0		text	44	
7ce0474b-9095-4507-a01b-767445a1c93d_1	7ce0474b-9095-4507-a01b-767445a1c93d	Mac OS X,10.10.5	Chrome,48.0.2564	Internal Test Battery	ian	ianeisenberg90@gmail.com	True	False	False	theories_of_willpower	Theories of Willpower Scale	http://pss.sagepub.com/content/early/2010/09/28/0956797610384745.full#sec-22	trm_56a91a3082c31									1	1454525145484	theories_of_willpower				0.0-1.0	-1										167047									169917			instructions	instruction	1		poldrack-instructions	44	"[{""page_index"":0,""viewing_time"":167046}]"
7ce0474b-9095-4507-a01b-767445a1c93d_2	7ce0474b-9095-4507-a01b-767445a1c93d	Mac OS X,10.10.5	Chrome,48.0.2564	Internal Test Battery	ian	ianeisenberg90@gmail.com	True	False	False	theories_of_willpower	Theories of Willpower Scale	http://pss.sagepub.com/content/early/2010/09/28/0956797610384745.full#sec-22	trm_56a91a3082c31					25701				2	1454525256515	theories_of_willpower	practice			0.0-2.0	37					1	1	[37]	1	[1, 6]	100293	6		25701		Strenuous mental activity exhausts your resources, which you need to refuel afterwards (e.g. through taking breaks, doing nothing, watching television, eating snacks).	Strongly agree	<div class = centerbox-CCT3><p class = block-text><div id = instruct1><strong>Practice 1: </strong> In the version of the card game you are about to play, you will not turn the cards over one by one.  Rather, you will simply choose the total number of cards you would like to turn over (from 0 to 32) and then continue to the next round.  If turning over any cards seems too risky to you can click the zero button, in which case your score for this round will automatically be zero.<br><br> This is a practice round, and it looks just like the game you will play.  Please select the number of cards you would like to turn over, given the number of loss cards and the amount that you can gain or lose if you turn over a gain or loss card, as shown below.  Please note: The computer will tell you how well you did after all 27 game rounds are over!</div><div class = instructBox><div><strong>How many cards do you want to take?</strong></div></div><div class = instructBoxRight><div>Current Round:  0</div></div><div class = instructBoxLeft><div>Game Round: 1</div></div><div class = instructBoxLeft1><div>Loss Amount: 750</div></div><div class = instructBoxRight1><div># of Loss Cards: 1</div></div><div class = instructBoxMiddle1><div>Gain Amount: 10</div></div><div class = buttonbox3><button type='button' class = select-button2 id = 1 onclick = chooseButton(this.id)>1</button><button type='button' class = select-button2 id = 2 onclick = chooseButton1(this.id)>2</button><button type='button' class = select-button2 id = 3 onclick = chooseButton1(this.id)>3</button><button type='button' class = select-button2 id = 4 onclick = chooseButton1(this.id)>4</button><button type='button' class = select-button2 id = 5 onclick = chooseButton1(this.id)>5</button><button type='button' class = select-button2 id = 6 onclick = chooseButton1(this.id)>6</button><button type='button' class = select-button2 id = 7 onclick = chooseButton1(this.id)>7</button><button type='button' class = select-button2 id = 8 onclick = chooseButton1(this.id)>8</button><button type='button' class = select-button2 id = 9 onclick = chooseButton1(this.id)>9</button><button type='button' class = select-button2 id = 10  onclick = chooseButton1(this.id)>10</button><button type='button' class = select-button2 id = 11  onclick = chooseButton1(this.id)>11</button><button type='button' class = select-button2 id = 12  onclick = chooseButton1(this.id)>12</button><button type='button' class = select-button2 id = 13  onclick = chooseButton1(this.id)>13</button><button type='button' class = select-button2 id = 14  onclick = chooseButton1(this.id)>14</button><button type='button' class = select-button2 id = 15  onclick = chooseButton1(this.id)>15</button><button type='button' class = select-button2 id = 16  onclick = chooseButton1(this.id)>16</button><button type='button' class = select-button2 id = 17  onclick = chooseButton1(this.id)>17</button><button type='button' class = select-button2 id = 18  onclick = chooseButton1(this.id)>18</button><button type='button' class = select-button2 id = 19  onclick = chooseButton1(this.id)>19</button><button type='button' class = select-button2 id = 20  onclick = chooseButton1(this.id)>20</button><button type='button' class = select-button2 id = 21  onclick = chooseButton1(this.id)>21</button><button type='button' class = select-button2 id = 22  onclick = chooseButton1(this.id)>22</button><button type='button' class = select-button2 id = 23  onclick = chooseButton1(this.id)>23</button><button type='button' class = select-button2 id = 24  onclick = chooseButton1(this.id)>24</button><button type='button' class = select-button2 id = 25  onclick = chooseButton1(this.id)>25</button><button type='button' class = select-button2 id = 26  onclick = chooseButton1(this.id)>26</button><button type='button' class = select-button2 id = 27  onclick = chooseButton1(this.id)>27</button><button type='button' class = select-button2 id = 28  onclick = chooseButton1(this.id)>28</button><button type='button' class = select-button2 id = 29  onclick = chooseButton1(this.id)>29</button><button type='button' class = select-button2 id = 30  onclick = chooseButton1(this.id)>30</button><button type='button' class = select-button2 id = 31  onclick = chooseButton1(this.id)>31</button><button type='button' class = select-button2 id = 32  onclick = chooseButton1(this.id)>32</button></div><div class = numbox3><div class = square2><input type='image' id = 'c1' src='/static/experiments/columbia_card_task_cold/images/beforeChosen.png'></div><div class = square2><input type='image' id = 'c5' src='/static/experiments/columbia_card_task_cold/images/beforeChosen.png'></div><div class = square2><input type='image' id = 'c9' src='/static/experiments/columbia_card_task_cold/images/beforeChosen.png'></div><div class = square2><input type='image' id = 'c13' src='/static/experiments/columbia_card_task_cold/images/beforeChosen.png'></div><div class = square2><input type='image' id = 'c17' src='/static/experiments/columbia_card_task_cold/images/beforeChosen.png'></div><div class = square2><input type='image' id = 'c21' src='/static/experiments/columbia_card_task_cold/images/beforeChosen.png'></div><div class = square2><input type='image' id = 'c25' src='/static/experiments/columbia_card_task_cold/images/beforeChosen.png'></div><div class = square2><input type='image' id = 'c29' src='/static/experiments/columbia_card_task_cold/images/beforeChosen.png'></div><div class = square2><input type='image' id = 'c2' src='/static/experiments/columbia_card_task_cold/images/beforeChosen.png'></div><div class = square2><input type='image' id = 'c6' src='/static/experiments/columbia_card_task_cold/images/beforeChosen.png'></div><div class = square2><input type='image' id = 'c10' src='/static/experiments/columbia_card_task_cold/images/beforeChosen.png'></div><div class = square2><input type='image' id = 'c14' src='/static/experiments/columbia_card_task_cold/images/beforeChosen.png'></div><div class = square2><input type='image' id = 'c18' src='/static/experiments/columbia_card_task_cold/images/beforeChosen.png'></div><div class = square2><input type='image' id = 'c22' src='/static/experiments/columbia_card_task_cold/images/beforeChosen.png'></div><div class = square2><input type='image' id = 'c26' src='/static/experiments/columbia_card_task_cold/images/beforeChosen.png'></div><div class = square2><input type='image' id = 'c30' src='/static/experiments/columbia_card_task_cold/images/beforeChosen.png'></div><div class = square2><input type='image' id = 'c3' src='/static/experiments/columbia_card_task_cold/images/beforeChosen.png'></div><div class = square2><input type='image' id = 'c7' src='/static/experiments/columbia_card_task_cold/images/beforeChosen.png'></div><div class = square2><input type='image' id = 'c11' src='/static/experiments/columbia_card_task_cold/images/beforeChosen.png'></div><div class = square2><input type='image' id = 'c15' src='/static/experiments/columbia_card_task_cold/images/beforeChosen.png'></div><div class = square2><input type='image' id = 'c19' src='/static/experiments/columbia_card_task_cold/images/beforeChosen.png'></div><div class = square2><input type='image' id = 'c23' src='/static/experiments/columbia_card_task_cold/images/beforeChosen.png'></div><div class = square2><input type='image' id = 'c27' src='/static/experiments/columbia_card_task_cold/images/beforeChosen.png'></div><div class = square2><input type='image' id = 'c31' src='/static/experiments/columbia_card_task_cold/images/beforeChosen.png'></div><div class = square2><input type='image' id = 'c4' src='/static/experiments/columbia_card_task_cold/images/beforeChosen.png'></div><div class = square2><input type='image' id = 'c8' src='/static/experiments/columbia_card_task_cold/images/beforeChosen.png'></div><div class = square2><input type='image' id = 'c12' src='/static/experiments/columbia_card_task_cold/images/beforeChosen.png'></div><div class = square2><input type='image' id = 'c16' src='/static/experiments/columbia_card_task_cold/images/beforeChosen.png'></div><div class = square2><input type='image' id = 'c20' src='/static/experiments/columbia_card_task_cold/images/beforeChosen.png'></div><div class = square2><input type='image' id = 'c24' src='/static/experiments/columbia_card_task_cold/images/beforeChosen.png'></div><div class = square2><input type='image' id = 'c28' src='/static/experiments/columbia_card_task_cold/images/beforeChosen.png'></div><div class = square2><input type='image' id = 'c32' src='/static/experiments/columbia_card_task_cold/images/beforeChosen.png'></div></div></p></div>		280949	1	0		instruction	2	0	poldrack-survey-multi-choice	44	"[{""page_index"":0,""viewing_time"":68672573},{""page_index"":1,""viewing_time"":40399},{""page_index"":0,""viewing_time"":366713},{""page_index"":1,""viewing_time"":1103977},{""page_index"":0,""viewing_time"":942},{""page_index"":1,""viewing_time"":840},{""page_index"":2,""viewing_time"":2517},{""page_index"":1,""viewing_time"":21200},{""page_index"":2,""viewing_time"":741148}]"
7ce0474b-9095-4507-a01b-767445a1c93d_3	7ce0474b-9095-4507-a01b-767445a1c93d	Mac OS X,10.10.5	Chrome,48.0.2564	Internal Test Battery	ian	ianeisenberg90@gmail.com	True	False	False	theories_of_willpower	Theories of Willpower Scale	http://pss.sagepub.com/content/early/2010/09/28/0956797610384745.full#sec-22	trm_56a91a3082c31					1000	AX			3	1454525256517	theories_of_willpower	test			0.0-2.0	13				tol_peg_1	1	1	none	2	[1, 6]	100293	6		1000		After a strenuous mental activity, your energy is depleted and you must rest to get it refuelled again.	Strongly agree	<div class = centerbox><div class = center-text>4 Digits</p></div>		280951	1	1000		practice_intro	2	1	poldrack-survey-multi-choice	44	
7ce0474b-9095-4507-a01b-767445a1c93d_4	7ce0474b-9095-4507-a01b-767445a1c93d	Mac OS X,10.10.5	Chrome,48.0.2564	Internal Test Battery	ian	ianeisenberg90@gmail.com	True	False	False	theories_of_willpower	Theories of Willpower Scale	http://pss.sagepub.com/content/early/2010/09/28/0956797610384745.full#sec-22	trm_56a91a3082c31					1410	global	True	49	4	1454525256518	theories_of_willpower	practice	1000	circle	0.0-2.0	49			triangle	tol_peg_3	1	1	[49, 50, 51, 52]	3	[1, 6]	100293	1		1410	1	When you have been working on a strenuous mental task, you feel energized and you are able to immediately start with another demanding activity.	Strongly agree	"<div class = centerbox><img src = ""/static/experiments/local_global/images/black_circleoftriangles.png""</img></div>"	0	280952	1	500		stim	2	2	poldrack-survey-multi-choice	44	"[{""page_index"":0,""viewing_time"":2773},{""page_index"":1,""viewing_time"":1318}]"
7ce0474b-9095-4507-a01b-767445a1c93d_5	7ce0474b-9095-4507-a01b-767445a1c93d	Mac OS X,10.10.5	Chrome,48.0.2564	Internal Test Battery	ian	ianeisenberg90@gmail.com	True	False	False	theories_of_willpower	Theories of Willpower Scale	http://pss.sagepub.com/content/early/2010/09/28/0956797610384745.full#sec-22	trm_56a91a3082c31					1083	global	False	49	5	1454525256520	theories_of_willpower	practice	1000	circle	0.0-2.0	50			X	tol_peg_2	1	1	[49, 50, 51, 52]	4	[1, 6]	100293	1		1083	2	Your mental stamina fuels itself. Even after strenuous mental exertion, you can continue doing more of it.	Strongly agree	"<div class = centerbox><img src = ""/static/experiments/local_global/images/black_circleofXs.png""</img></div>"	0	280953	1	500		stim	2	3	poldrack-survey-multi-choice	44	
7ce0474b-9095-4507-a01b-767445a1c93d_6	7ce0474b-9095-4507-a01b-767445a1c93d	Mac OS X,10.10.5	Chrome,48.0.2564	Internal Test Battery	ian	ianeisenberg90@gmail.com	True	False	False	theories_of_willpower	Theories of Willpower Scale	http://pss.sagepub.com/content/early/2010/09/28/0956797610384745.full#sec-22	trm_56a91a3082c31					1883	global	True	52	6	1454525256520	theories_of_willpower	practice	1000	square	0.0-2.0	52			square		1	1	[49, 50, 51, 52]	5	[1, 6]	100293	6		1883		When you have completed a strenuous mental activity, you cannot start another activity immediately with the same concentration because you have to recover your mental energy again.	Strongly agree	"<div class = centerbox><img src = ""/static/experiments/local_global/images/black_squareofsquares.png""</img></div>"	0	280954	1	500		stim	2	4	poldrack-survey-multi-choice	44	"[{""page_index"":0,""viewing_time"":63980},{""page_index"":1,""viewing_time"":108556}]"
7ce0474b-9095-4507-a01b-767445a1c93d_7	7ce0474b-9095-4507-a01b-767445a1c93d	Mac OS X,10.10.5	Chrome,48.0.2564	Internal Test Battery	ian	ianeisenberg90@gmail.com	True	False	False	theories_of_willpower	Theories of Willpower Scale	http://pss.sagepub.com/content/early/2010/09/28/0956797610384745.full#sec-22	trm_56a91a3082c31					2177	local	True	50	7	1454525256521	theories_of_willpower	practice	1000	circle	0.0-2.0	50	55	117	X		1	1	[49, 50, 51, 52]	6	[1, 6]	100293	1	54	2177		After a strenuous mental activity, you feel energized for further challenging activities.	Strongly agree	"<div class = centerbox><img src = ""/static/experiments/local_global/images/blue_circleofXs.png""</img></div>"	1	280955	1	500		stim	2	5	poldrack-survey-multi-choice	44	
7ce0474b-9095-4507-a01b-767445a1c93d_8	7ce0474b-9095-4507-a01b-767445a1c93d	Mac OS X,10.10.5	Chrome,48.0.2564	Internal Test Battery	ian	ianeisenberg90@gmail.com	True	False	False	theories_of_willpower	Theories of Willpower Scale	http://pss.sagepub.com/content/early/2010/09/28/0956797610384745.full#sec-22	trm_56a91a3082c31					2172	global	True	51	8	1454525256522	theories_of_willpower	practice	1000	triangle	0.0-2.0	51	75	61	square	tol_peg_1	1	2	[49, 50, 51, 52]	1	[1, 6]	9731	6	55	2172	1	Resisting temptations makes you feel more vulnerable to the next temptations that come along.	Strongly agree	"<div class = centerbox><img src = ""/static/experiments/local_global/images/black_triangleofsquares.png""</img></div>"	1	280956	1	500		stim	2	6	poldrack-survey-multi-choice	44	
60fc067b-e0cc-46c6-9d00-0fa3d4323841_0	60fc067b-e0cc-46c6-9d00-0fa3d4323841	Linux,	Chrome,48.0.2564	Internal Test Battery	ian	ianeisenberg90@gmail.com	True	False	False	eating_questionnaire	R18: Three factor eating questionnaire	http://jn.nutrition.org/content/134/9/2372.long#sec-18	trm_56aac5f6e4702									0	1454453131622	eating_questionnaire				0.0-0.0	13										2846									2849					0		text	27	
